Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
1764557631.3381882,0,-7,-5,-4,-1,1,1,-2,rest
1764557631.3381882,0,6,6,1,0,-1,-14,-1,rest
1764557631.3452783,1,-7,-3,-2,-2,-1,2,6,rest
1764557631.3452783,2,1,0,-1,1,3,0,0,rest
1764557631.3611338,0,11,4,0,0,-2,-1,0,rest
1764557631.3611338,-2,-3,3,0,0,-1,1,-3,rest
1764557631.3626134,-1,-4,-5,0,-1,-1,-11,-3,rest
1764557631.3626134,1,3,0,0,-2,0,31,3,rest
1764557631.3836877,-1,-4,4,1,-2,0,-3,1,rest
1764557631.3836877,-2,-1,-3,-4,-2,-1,3,0,rest
1764557631.384682,1,2,0,1,4,1,-2,0,rest
1764557631.3856819,0,3,0,1,-2,-4,-14,-4,rest
1764557631.3983624,0,-3,-1,1,-1,-7,1,-1,rest
1764557631.3983624,0,5,5,0,1,9,6,1,rest
1764557631.4053671,-2,-9,-6,-6,-3,-4,-1,-1,rest
1764557631.4053671,-4,-6,-6,-3,-3,-2,-4,0,rest
1764557631.4207308,-1,2,-5,-2,-1,3,8,-1,rest
1764557631.4207308,-1,-6,-1,0,-1,-7,-4,2,rest
1764557631.4228585,0,4,1,2,1,4,-10,-1,rest
1764557631.4228585,-1,5,1,1,1,0,-1,-4,rest
1764557631.443899,-1,-5,-2,-2,-3,-5,-5,-4,rest
1764557631.443899,0,1,1,0,-2,-4,3,11,rest
1764557631.4448986,0,-7,-3,0,-1,2,4,0,rest
1764557631.4448986,-3,-3,0,0,1,-3,-6,-9,rest
1764557631.4578981,1,3,5,0,-2,3,-12,5,rest
1764557631.4578981,-3,-3,-4,-3,-1,0,9,-6,rest
1764557631.4648986,-1,2,1,0,-2,-3,0,-1,rest
1764557631.4648986,-3,0,-1,0,1,0,-12,1,rest
1764557631.4809206,1,-5,-5,0,1,0,-2,-4,rest
1764557631.4809206,-3,0,1,0,1,-1,-1,-5,rest
1764557631.482921,-2,0,-2,-1,-2,-2,-3,-1,rest
1764557631.482921,-1,-3,-3,-2,-2,-1,2,-2,rest
1764557631.5031462,0,2,2,-1,1,2,7,9,rest
1764557631.5031462,0,-4,-4,-1,-1,-4,-15,-9,rest
1764557631.5051467,0,4,6,0,-2,-11,6,-3,rest
1764557631.5051467,-1,-3,-1,0,2,27,4,0,rest
1764557631.5265582,1,2,0,-2,-2,-7,7,3,rest
1764557631.5265582,-1,0,-3,-1,1,-1,-4,-5,rest
1764557631.5275576,-1,1,-1,-4,0,0,-8,0,rest
1764557631.5275576,-1,-6,-5,-1,-4,-8,0,-3,rest
1764557631.541397,2,5,3,2,-1,3,-14,16,rest
1764557631.541397,-1,0,-2,1,0,3,11,1,rest
1764557631.5423963,-2,1,3,2,0,-1,-3,-4,rest
1764557631.5423963,0,1,0,-1,-2,-5,1,5,rest
1764557631.5633602,-4,-2,-3,0,1,1,-4,-10,rest
1764557631.5633602,-1,-2,1,-2,-2,-6,-1,-1,rest
1764557631.5653868,0,-3,-6,-3,-1,2,-1,1,rest
1764557631.5653868,0,0,1,0,1,-4,2,-6,rest
1764557631.5780408,-3,-1,2,0,0,1,4,-1,rest
1764557631.5780408,-1,-6,-5,-1,-2,0,1,-1,rest
1764557631.5844195,-1,0,0,-1,-2,0,6,0,rest
1764557631.5844195,-2,-5,-3,-3,1,-5,-5,0,rest
1764557631.609023,-1,-12,1,1,0,-2,10,-3,rest
1764557631.609023,2,22,4,-1,-1,-4,2,4,rest
1764557631.6100225,1,-1,-1,-1,-3,5,-10,-2,rest
1764557631.6100225,-1,-1,1,0,0,-5,2,7,rest
1764557631.6240227,1,-1,-1,-3,-2,-5,-3,-3,rest
1764557631.6240227,-1,-5,-1,-1,-2,-6,2,1,rest
1764557631.6250238,-1,-4,-3,0,-1,1,5,1,rest
1764557631.6250238,0,2,0,0,2,-5,-29,0,rest
1764557631.638068,-1,2,1,2,2,1,3,-5,rest
1764557631.638068,-1,-4,-2,0,-2,-6,-5,-1,rest
1764557631.6450815,-2,5,3,-2,1,-2,5,-3,rest
1764557631.6450815,-1,-2,-3,0,-3,1,-4,6,rest
1764557631.6610672,-1,-1,-2,-3,1,0,-4,-7,rest
1764557631.6610672,-1,-1,-1,-3,-1,3,1,-2,rest
1764557631.6630676,0,-7,-2,-1,-1,2,-4,0,rest
1764557631.6630676,-1,1,-1,1,-1,0,5,-3,rest
1764557631.6835148,2,4,-1,-1,-2,0,-1,-6,rest
1764557631.6835148,0,-3,0,-2,1,4,2,0,rest
1764557631.6855145,-1,2,2,1,-1,1,3,0,rest
1764557631.6855145,1,6,5,0,-2,-5,2,0,rest
1764557631.6975443,1,-1,-3,-3,-2,1,2,-3,rest
1764557631.6975443,-3,-4,-1,0,-3,-6,1,2,rest
1764557631.7045963,-1,-3,-1,-2,0,5,-2,1,rest
1764557631.7045963,-1,1,-5,-4,-1,-6,1,-7,rest
1764557631.720618,-2,0,1,1,2,0,-20,1,rest
1764557631.720618,-2,-5,-5,-1,-1,4,3,-4,rest
1764557631.722619,-1,0,2,2,-3,-6,6,4,rest
1764557631.722619,-1,-6,2,1,-1,4,-9,-1,rest
1764557631.7438843,-5,12,4,3,1,2,5,1,rest
1764557631.7438843,-1,-4,-2,-3,-1,-5,-4,-1,rest
1764557631.7448854,-2,-3,-8,-2,1,-2,0,-3,rest
1764557631.7448854,-2,0,0,1,-1,1,5,-2,rest
1764557631.757213,-1,-2,-1,-2,-1,-5,-7,0,rest
1764557631.757213,-2,-5,-2,2,-1,6,-8,1,rest
1764557631.7662137,0,3,-1,-2,0,0,9,0,rest
1764557631.7662137,-3,-4,-2,0,1,0,4,1,rest
1764557631.7812142,-2,-2,-1,-2,-3,-3,-2,0,rest
1764557631.7812142,-1,0,-2,0,0,1,2,2,rest
1764557631.7827444,-1,-4,0,-1,0,0,-3,-6,rest
1764557631.7827444,-3,-5,-4,-2,-1,-5,-8,-1,rest
1764557631.8038502,2,9,4,0,1,0,6,-1,rest
1764557631.8038502,1,-8,-3,1,-3,5,1,0,rest
1764557631.8048503,-4,2,3,0,3,-5,-4,-2,rest
1764557631.8048503,1,-5,-4,-3,-2,-3,6,-1,rest
1764557631.8167386,1,0,-1,-1,0,0,9,1,rest
1764557631.8167386,0,2,4,1,-1,-4,-8,-4,rest
1764557631.8318508,1,0,1,1,1,-1,2,-1,rest
1764557631.8318508,1,3,0,0,0,-5,3,1,rest
1764557631.8414123,-2,-4,1,-3,-2,2,6,0,rest
1764557631.8414123,0,0,-1,-1,0,-1,-10,1,rest
1764557631.8428824,-2,-1,1,0,-1,-4,-1,-3,rest
1764557631.8428824,0,5,3,-2,1,2,2,-2,rest
1764557631.8638418,5,-12,-8,1,-2,2,0,5,rest
1764557631.8638418,-11,3,3,-2,0,6,28,-9,rest
1764557631.8648412,-1,-4,-2,0,0,0,-14,1,rest
1764557631.8648412,2,5,0,0,-2,1,5,1,rest
1764557631.8772092,-3,0,-1,0,3,-2,-5,-1,rest
1764557631.8772092,2,0,2,1,1,-4,-2,0,rest
1764557631.8862455,0,-1,-3,-1,-2,2,0,-2,rest
1764557631.8862455,-2,-1,-3,-2,-2,-5,0,-2,rest
1764557631.9006004,1,1,0,0,0,4,-1,-1,rest
1764557631.9006004,1,-1,-3,-4,-2,-6,-4,0,rest
1764557631.9029768,-3,0,1,0,-3,-2,2,1,rest
1764557631.9029768,-3,-9,-7,-3,0,0,-3,-1,rest
1764557631.9239562,-1,0,0,-3,-1,-7,-3,-1,rest
1764557631.9239562,1,0,-1,-1,0,1,-2,1,rest
1764557631.924958,-1,3,1,0,-1,2,0,-1,rest
1764557631.924958,0,3,1,-1,-2,-2,1,2,rest
1764557631.9372096,-2,-3,-6,-2,-1,-2,2,-2,rest
1764557631.9372096,0,-4,0,-1,0,3,3,2,rest
1764557631.9462726,1,-2,6,1,0,-3,3,5,rest
1764557631.9462726,0,5,-8,-1,3,3,-13,-1,rest
1764557631.9614074,0,1,-1,-1,0,2,12,2,rest
1764557631.9614074,2,-2,0,0,1,1,-7,0,rest
1764557631.9624062,-1,2,0,-2,1,-1,4,-1,rest
1764557631.9624062,0,-1,4,2,1,0,-1,3,rest
1764557631.9834259,-2,0,2,0,-1,-2,-4,-2,rest
1764557631.9834259,-1,3,-1,-1,-2,-10,-3,0,rest
1764557631.9848237,0,-4,-4,-2,-1,19,4,-6,rest
1764557631.9848237,-2,0,2,-1,-2,-1,2,8,rest
1764557631.9976878,1,1,-1,-2,0,-3,3,1,rest
1764557631.9976878,-2,-5,-3,1,1,0,2,-2,rest
1764557632.0139346,0,2,-1,-2,-1,-6,-5,-4,rest
1764557632.0139346,1,0,-1,-1,-2,0,3,-5,rest
1764557632.0209756,-2,1,1,1,-1,3,1,-2,rest
1764557632.0209756,1,1,2,-1,1,-2,-2,0,rest
1764557632.0222101,0,-1,-4,0,0,-2,-4,3,rest
1764557632.0222101,-2,-5,-6,-4,-3,0,5,-3,rest
1764557632.043329,1,8,3,-1,0,0,-5,-1,rest
1764557632.043329,1,-8,-6,-1,0,1,-6,-1,rest
1764557632.0453315,-2,1,0,1,0,-1,-3,-1,rest
1764557632.0453315,1,0,5,1,1,0,-1,-2,rest
1764557632.0574012,-1,-6,-3,1,-1,-1,-5,-3,rest
1764557632.0574012,0,2,2,0,0,2,-4,0,rest
1764557632.0664194,1,-1,-2,-3,-2,-4,3,-2,rest
1764557632.0664194,-1,1,3,1,1,3,7,7,rest
1764557632.0807402,1,-8,-5,-3,-2,-5,-1,1,rest
1764557632.0807402,-3,3,0,-3,0,-2,-3,-9,rest
1764557632.081742,-2,-5,-5,-1,-2,-6,0,1,rest
1764557632.081742,-2,3,1,0,1,-2,-1,-4,rest
1764557632.1040018,0,1,1,2,-1,0,-13,-1,rest
1764557632.1040018,2,0,-1,0,1,-4,3,2,rest
1764557632.1050262,-1,0,0,1,1,0,-2,-3,rest
1764557632.1050262,1,-3,-2,-1,0,1,1,-1,rest
1764557632.1174848,-2,-6,-4,-2,-4,-5,-2,0,rest
1764557632.1174848,0,6,2,-1,-1,-1,-2,-5,rest
1764557632.1262622,-1,-7,-7,-2,3,2,-11,12,rest
1764557632.1262622,-1,2,1,-1,0,-2,3,0,rest
1764557632.1415153,-3,-7,-3,-2,0,4,7,-4,rest
1764557632.1415153,-1,7,3,-2,-2,0,-5,0,rest
1764557632.142513,1,2,1,1,0,0,5,-2,rest
1764557632.142513,-2,-1,-1,-1,0,-2,-1,-2,rest
1764557632.1638722,-3,-3,-2,0,-1,0,-9,-1,rest
1764557632.1638722,0,-3,0,0,-1,3,5,2,rest
1764557632.1648774,1,4,-1,0,-3,-6,1,-5,rest
1764557632.1648774,0,-8,-1,-2,1,-9,-6,2,rest
1764557632.1858742,-1,16,7,0,-1,8,1,-6,rest
1764557632.1858742,-2,-17,-13,-3,1,1,5,1,rest
